t,Tau_Motor,Tau_1,Tau_2,vel
0,3.0,16.61,6.14,0.0
0,3.0,16.62,6.14,0.0
0,3.0,16.63,6.14,0.25
0,3.0,16.59,6.14,10.52
0,3.3,9.45,10.08,17.03
0,3.85,8.08,15.95,22.54
0,4.45,14.18,8.06,20.28
0,4.8,19.35,4.39,21.04
0,4.45,8.15,16.3,22.04
0,4.6,27.98,4.41,20.03
0,4.45,10.23,7.33,19.53
0,4.1,8.46,13.0,26.04
0,4.45,28.21,2.35,19.78
0,4.5,8.54,16.57,11.27
0,4.55,12.99,10.05,24.54
0,4.85,21.4,2.04,28.3
0,4.85,8.27,15.23,24.29
0,4.65,28.12,3.92,22.54
0,4.8,10.11,10.11,31.3
0,5.6,9.24,12.41,37.81
0,6.1,8.81,11.18,40.32
0,6.05,20.97,2.51,29.3
0,6.0,8.71,12.55,44.82
0,6.3,8.95,10.98,40.07
0,6.75,20.11,2.56,28.8
0,5.95,8.91,13.18,34.56
0,5.6,13.33,5.28,47.08
0,6.4,19.07,4.18,26.79
0,6.6,8.33,13.12,31.8
0,6.1,13.64,2.41,24.29
0,5.45,11.37,3.48,23.54
0,5.0,13.13,2.7,16.03
0,4.65,8.65,7.37,23.79
0,4.55,30.54,1.52,18.53
0,4.9,9.01,7.44,20.78
0,5.0,8.49,7.5,26.04
0,5.0,23.74,1.16,31.05
0,5.0,8.3,11.89,29.55
0,5.0,28.38,1.72,23.29
0,5.0,9.37,6.85,24.79
0,5.0,12.08,3.84,28.05
0,5.25,14.93,3.23,21.29
0,5.25,10.32,5.7,32.05
0,5.1,20.11,1.65,33.06
0,5.6,8.91,6.21,40.07
0,6.25,8.59,7.76,36.81
0,6.25,18.94,1.19,32.3
0,6.0,8.61,7.46,35.81
0,6.0,12.33,3.15,35.06
0,6.0,19.46,1.94,35.81
0,6.0,8.32,12.49,30.05
0,6.0,22.36,1.1,28.05
0,6.0,8.5,7.41,33.06
0,6.15,22.93,1.63,42.32
0,6.2,18.47,2.33,32.05
0,6.05,8.09,10.94,34.31
0,6.0,19.13,1.31,36.56
0,6.0,8.86,7.05,36.06
0,5.75,8.74,9.31,37.06
0,5.7,21.16,1.38,31.8
0,6.0,8.04,11.05,37.56
0,6.0,19.02,1.42,37.81
0,6.0,10.18,7.39,41.32
0,6.0,8.45,9.43,44.32
0,6.55,19.96,1.1,47.08
0,7.1,19.81,2.12,29.3
0,7.0,9.07,6.89,40.07
0,6.45,9.21,2.98,40.57
0,6.3,28.53,1.86,30.8
0,6.3,8.37,9.82,31.8
0,6.25,20.27,1.95,34.56
0,6.3,11.33,4.26,39.32
0,6.0,8.15,8.59,37.81
0,6.15,23.97,1.14,33.06
0,6.15,8.78,9.05,42.82
0,6.2,8.96,8.28,42.32
0,6.6,27.33,1.22,38.56
0,6.85,9.14,8.77,42.82
0,6.45,8.44,8.92,36.31
0,6.0,26.78,1.11,34.81
0,6.0,8.55,8.78,37.31
0,6.0,19.07,2.01,35.31
0,6.0,21.68,3.07,41.57
0,6.15,8.27,9.05,33.06
0,6.15,23.63,1.23,35.31
0,5.8,8.62,7.89,32.8
0,5.3,26.41,1.29,33.81
0,5.45,9.39,6.33,34.31
0,6.0,9.38,3.69,35.81
0,6.0,19.49,2.47,36.81
0,5.8,8.27,9.45,34.56
0,5.35,26.65,1.04,28.55
0,5.15,8.42,9.53,35.06
0,5.65,24.36,1.41,32.05
0,5.55,10.45,4.91,36.56
0,5.75,16.15,2.39,33.31
0,6.15,23.17,2.06,40.82
0,5.8,8.24,10.64,38.81
0,5.8,24.58,1.07,22.79
0,5.7,8.62,7.21,37.56
