date,t,Tau_Motor,Tau_1,Tau_2,vel,encoder_count,mode,level,turn
10:4:25 - 27/11/2024,0.000,3.19,-28.77,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.110,3.20,-28.77,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.206,3.20,-28.77,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.308,3.20,-28.77,-13.94,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.406,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.502,3.20,-28.77,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.609,3.20,-28.78,-13.94,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.740,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.834,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,0.964,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.032,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.137,3.20,-28.78,-13.94,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.247,3.18,-28.78,-13.94,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.384,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.478,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.580,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.685,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.788,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,1.930,3.22,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.037,3.22,-28.78,-13.94,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.131,3.22,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.241,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.341,3.20,-28.78,-13.94,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.475,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.579,3.20,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.688,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.785,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,2.921,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.027,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.127,3.18,-28.78,-13.94,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.232,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.340,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.435,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.538,3.18,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.680,3.19,-28.78,-13.93,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.779,3.19,-28.78,-13.94,0.00,0.00,Active,1,1
10:4:25 - 27/11/2024,3.897,3.19,-28.78,-13.94,0.00,5.00,Active,1,1
10:4:25 - 27/11/2024,3.992,3.19,-28.78,-13.93,1.94,18.00,Active,1,1
10:4:25 - 27/11/2024,4.097,3.30,-28.78,-13.93,4.59,40.00,Active,1,1
10:4:25 - 27/11/2024,4.200,3.30,-28.77,-13.98,5.11,60.00,Active,1,1
10:4:25 - 27/11/2024,4.321,3.47,-28.76,-14.08,4.72,80.00,Active,1,1
10:4:25 - 27/11/2024,4.414,3.47,-28.74,-14.21,3.70,95.00,Active,1,1
10:4:25 - 27/11/2024,4.519,3.45,-28.73,-14.33,5.01,119.00,Active,1,1
10:4:25 - 27/11/2024,4.628,3.45,-28.72,-14.45,7.88,156.00,Active,1,1
10:4:25 - 27/11/2024,4.748,3.45,-28.70,-14.60,11.84,218.00,Active,1,1
10:4:25 - 27/11/2024,4.962,3.62,-28.63,-14.79,16.32,355.00,Active,1,1
10:4:25 - 27/11/2024,5.011,3.60,-28.63,-14.79,16.32,385.00,Active,1,1
10:4:25 - 27/11/2024,5.075,3.60,-28.55,-15.38,14.94,421.00,Active,1,1
10:4:25 - 27/11/2024,5.167,3.60,-28.48,-15.68,11.96,468.00,Active,1,1
10:4:25 - 27/11/2024,5.299,3.60,-28.41,-15.92,9.48,512.00,Active,1,1
10:4:25 - 27/11/2024,5.410,3.37,-28.32,-16.08,7.74,546.00,Active,1,1
10:4:25 - 27/11/2024,5.519,3.37,-28.24,-16.21,7.58,579.00,Active,1,1
10:4:25 - 27/11/2024,5.627,3.37,-28.10,-16.37,8.50,618.00,Active,1,1
10:4:25 - 27/11/2024,5.736,3.42,-28.02,-16.44,10.34,663.00,Active,1,1
10:4:25 - 27/11/2024,5.928,3.48,-28.00,-16.51,11.97,766.00,Active,1,1
10:4:25 - 27/11/2024,5.997,3.48,-28.00,-16.51,14.18,809.00,Active,1,1
10:4:25 - 27/11/2024,6.078,3.50,-28.00,-16.51,16.27,863.00,Active,1,1
10:4:25 - 27/11/2024,6.186,3.50,-28.00,-16.51,17.08,936.00,Active,1,1
10:4:25 - 27/11/2024,6.259,3.50,-28.02,-16.65,17.08,985.00,Active,1,1
10:4:25 - 27/11/2024,6.373,3.50,-28.05,-16.63,16.99,1064.00,Active,1,1
10:4:25 - 27/11/2024,6.495,3.48,-28.07,-16.59,17.42,1155.00,Active,1,1
10:4:25 - 27/11/2024,6.607,3.48,-28.08,-16.53,18.78,1241.00,Active,1,1
10:4:25 - 27/11/2024,6.728,3.51,-28.10,-16.42,19.00,1329.00,Active,1,1
10:4:25 - 27/11/2024,6.837,3.51,-28.25,-16.23,18.35,1402.00,Active,1,1
10:4:25 - 27/11/2024,6.991,3.51,-28.25,-16.23,15.11,1497.00,Active,1,1
10:4:25 - 27/11/2024,7.035,3.41,-28.44,-15.59,15.11,1523.00,Active,1,1
10:4:25 - 27/11/2024,7.144,3.41,-28.53,-15.19,15.68,1597.00,Active,1,1
10:4:25 - 27/11/2024,7.260,3.41,-28.65,-14.23,18.51,1688.00,Active,1,1
10:4:25 - 27/11/2024,7.376,3.41,-28.65,-14.23,20.08,1784.00,Active,1,1
10:4:25 - 27/11/2024,7.494,3.47,-28.75,-13.10,20.51,1880.00,Active,1,1
10:4:25 - 27/11/2024,7.608,3.43,-28.75,-13.10,20.87,1975.00,Active,1,1
10:4:25 - 27/11/2024,7.686,3.43,-28.83,-12.72,21.37,2043.00,Active,1,1
10:4:25 - 27/11/2024,7.803,3.44,-28.86,-12.77,22.02,2149.00,Active,1,1
10:4:25 - 27/11/2024,7.957,3.44,-28.86,-12.77,23.77,2297.00,Active,1,1
10:4:25 - 27/11/2024,8.037,3.44,-28.85,-13.07,25.04,2377.00,Active,1,1
10:4:25 - 27/11/2024,8.117,3.44,-28.81,-13.37,25.04,2461.00,Active,1,1
10:4:25 - 27/11/2024,8.234,3.44,-28.77,-13.69,26.09,2593.00,Active,1,1
10:4:25 - 27/11/2024,8.351,3.44,-28.72,-14.01,28.41,2734.00,Active,1,1
10:4:25 - 27/11/2024,8.470,3.44,-28.65,-14.55,29.88,2866.00,Active,1,1
10:4:25 - 27/11/2024,8.551,3.44,-28.55,-15.22,27.38,2942.00,Active,1,1
10:4:25 - 27/11/2024,8.671,3.40,-28.36,-15.77,22.07,3038.00,Active,1,1
10:4:25 - 27/11/2024,8.786,3.40,-28.14,-16.14,18.78,3122.00,Active,1,1
10:4:25 - 27/11/2024,8.945,3.40,-28.14,-16.14,18.25,3242.00,Active,1,1
10:4:25 - 27/11/2024,9.003,3.40,-28.14,-16.14,19.15,3299.00,Active,1,1
10:4:25 - 27/11/2024,9.104,3.40,-28.04,-16.56,21.43,3376.00,Active,1,1
10:4:25 - 27/11/2024,9.221,3.50,-28.09,-16.55,23.56,3487.00,Active,1,1
10:4:25 - 27/11/2024,9.342,3.50,-28.13,-16.51,25.46,3614.00,Active,1,1
10:4:25 - 27/11/2024,9.459,3.50,-28.13,-16.42,25.46,3731.00,Active,1,1
10:4:25 - 27/11/2024,9.537,3.50,-28.16,-16.21,25.46,3799.00,Active,1,1
10:4:25 - 27/11/2024,9.662,3.35,-28.26,-15.84,22.07,3898.00,Active,1,1
10:4:25 - 27/11/2024,9.773,3.35,-28.39,-15.38,19.74,3985.00,Active,1,1
10:4:25 - 27/11/2024,9.934,3.35,-28.39,-15.38,19.57,4112.00,Active,1,1
10:4:25 - 27/11/2024,9.971,3.35,-28.39,-15.38,19.57,4142.00,Active,1,1
10:4:25 - 27/11/2024,10.102,3.39,-28.71,-13.56,20.20,4249.00,Active,1,1
10:4:25 - 27/11/2024,10.210,3.39,-28.76,-13.07,20.37,4337.00,Active,1,1
10:4:25 - 27/11/2024,10.347,3.38,-28.80,-12.82,21.43,4459.00,Active,1,1
10:4:25 - 27/11/2024,10.431,3.41,-28.84,-12.80,22.77,4538.00,Active,1,1
10:4:25 - 27/11/2024,10.529,3.41,-28.87,-12.98,24.81,4637.00,Active,1,1
10:4:25 - 27/11/2024,10.645,3.41,-28.85,-13.16,26.78,4762.00,Active,1,1
10:4:25 - 27/11/2024,10.778,3.48,-28.85,-13.16,28.44,4915.00,Active,1,1
10:4:25 - 27/11/2024,10.961,3.48,-28.85,-13.16,29.88,5132.00,Active,1,1
10:4:25 - 27/11/2024,10.998,3.48,-28.85,-13.16,28.83,5172.00,Active,1,1
10:4:25 - 27/11/2024,11.083,3.53,-28.48,-14.79,28.83,5259.00,Active,1,1
10:4:25 - 27/11/2024,11.200,3.49,-28.28,-15.44,25.46,5365.00,Active,1,1
10:4:25 - 27/11/2024,11.315,3.49,-28.08,-15.90,22.50,5462.00,Active,1,1
10:4:25 - 27/11/2024,11.404,3.44,-27.97,-16.20,21.43,5540.00,Active,1,1
10:4:25 - 27/11/2024,11.519,3.49,-27.90,-16.40,22.31,5649.00,Active,1,1
10:4:25 - 27/11/2024,11.631,3.49,-27.89,-16.52,24.41,5761.00,Active,1,1
10:4:25 - 27/11/2024,11.752,3.49,-27.91,-16.56,25.47,5883.00,Active,1,1
10:4:25 - 27/11/2024,11.911,3.49,-27.99,-16.54,25.04,6038.00,Active,1,1
10:4:25 - 27/11/2024,11.949,3.49,-27.99,-16.54,23.98,6073.00,Active,1,1
10:4:25 - 27/11/2024,12.069,3.44,-28.15,-16.38,20.62,6168.00,Active,1,1
10:4:25 - 27/11/2024,12.190,3.36,-28.20,-16.15,15.39,6237.00,Active,1,1
10:4:25 - 27/11/2024,12.267,3.36,-28.40,-15.46,15.39,6273.00,Active,1,1
10:4:25 - 27/11/2024,12.383,3.29,-28.47,-15.07,11.98,6336.00,Active,1,1
10:4:25 - 27/11/2024,12.502,3.28,-28.52,-14.72,14.22,6424.00,Active,1,1
10:4:25 - 27/11/2024,12.618,3.28,-28.59,-14.29,19.36,6539.00,Active,1,1
10:4:25 - 27/11/2024,12.739,3.28,-28.65,-13.71,25.25,6669.00,Active,1,1
10:4:25 - 27/11/2024,12.935,3.28,-28.71,-13.09,27.78,6888.00,Active,1,1
