date,t,Tau_Motor,Tau_1,Tau_2,vel,encoder_count,mode,level,turn,period,push_leg,degree,phase,Tau_Motor_deriv,Tau_1_deriv,Tau_2_deriv,vel_deriv
10:4:25 - 27/11/2024,4.628,3.45,28.72,14.45,7.88,156,Active,1,11,46,R,0.0,1,0.09928571428571573,-0.04821428571428464,0.40202380952380823,3.7000000000000055
10:4:25 - 27/11/2024,4.748,3.45,28.7,14.6,11.84,218,Active,1,11,46,R,9.683297180043384,1,0.07214285714285779,-0.03285714285714887,0.08809523809523861,4.22
10:4:25 - 27/11/2024,4.962,3.62,28.63,14.79,16.32,355,Active,1,11,46,R,31.080260303687634,1,0.04500000000000115,-0.032499999999999606,0.04916666666666682,2.2399999999999993
10:4:25 - 27/11/2024,5.011,3.6,28.63,14.79,16.32,385,Active,1,11,46,R,35.76572668112798,1,0.028000000000001135,-0.03499999999999823,0.30333333333333534,-0.6900000000000013
10:4:25 - 27/11/2024,5.075,3.6,28.55,15.38,14.94,421,Active,1,11,46,R,41.3882863340564,1,-0.003999999999998893,-0.08166666666666514,0.49916666666666815,-2.1800000000000006
10:4:25 - 27/11/2024,5.167,3.6,28.48,15.68,11.96,468,Active,1,11,46,R,48.72885032537961,1,-0.04599999999999893,-0.06749999999999981,0.2525000000000004,-2.73
10:4:25 - 27/11/2024,5.299,3.6,28.41,15.92,9.48,512,Active,1,11,46,R,55.600867678958785,1,-0.06899999999999895,-0.08083333333333259,0.1974999999999998,-2.1100000000000008
10:4:25 - 27/11/2024,5.41,3.37,28.32,16.08,7.74,546,Active,1,11,46,R,60.91106290672451,1,-0.06899999999999895,-0.08166666666666725,0.13583333333333453,-0.9500000000000006
10:4:25 - 27/11/2024,5.519,3.37,28.24,16.21,7.58,579,Active,1,11,46,R,66.0650759219089,1,-0.03599999999999892,-0.11416666666666528,0.15000000000000238,0.37999999999999945
10:4:25 - 27/11/2024,5.627,3.37,28.1,16.37,8.5,618,Active,1,11,46,R,72.15618221258134,1,0.02700000000000108,-0.11999999999999864,0.11750000000000066,1.3799999999999994
10:4:25 - 27/11/2024,5.736,3.42,28.02,16.44,10.34,663,Active,1,11,46,R,79.18438177874187,1,0.033000000000001084,-0.04666666666666706,0.06833333333333422,1.7349999999999997
10:4:25 - 27/11/2024,5.928,3.48,28.0,16.51,11.97,766,Active,1,11,46,R,95.27114967462039,1,0.03200000000000108,-0.004999999999998839,0.035000000000000656,1.9199999999999993
10:4:25 - 27/11/2024,5.997,3.48,28.0,16.51,14.18,809,Active,1,11,46,R,101.98698481561823,1,0.018000000000001237,0.0016666666666674073,-0.005833333333332896,2.1499999999999986
10:4:25 - 27/11/2024,6.078,3.5,28.0,16.51,16.27,863,Active,1,11,46,R,110.42082429501085,1,0.006000000000001227,-0.001666666666665853,-0.011666666666665954,1.4499999999999984
10:4:25 - 27/11/2024,6.186,3.5,28.0,16.51,17.08,936,Active,1,11,46,R,121.82212581344902,1,0.004000000000001225,0.009166666666667118,0.08333333333333212,0.4049999999999984
10:4:25 - 27/11/2024,6.259,3.5,28.02,16.65,17.08,985,Active,1,11,46,R,129.47505422993493,1,-0.003999999999998782,0.02750000000000127,0.07333333333333232,-0.04500000000000088
10:4:25 - 27/11/2024,6.373,3.5,28.05,16.63,16.99,1064,Active,1,11,46,R,141.81344902386118,1,-0.00599999999999884,0.026666666666668105,-0.04166666666666536,0.17000000000000076
10:4:25 - 27/11/2024,6.495,3.48,28.07,16.59,17.42,1155,Active,1,11,46,R,156.02603036876357,2,1.0547118733938987e-15,0.013333333333332373,-0.04749999999999846,0.8950000000000004
10:4:25 - 27/11/2024,6.607,3.48,28.08,16.53,18.78,1241,Active,1,11,46,R,169.45770065075922,2,0.005000000000001059,0.0033333333333349646,-0.07999999999999857,0.7899999999999981
10:4:25 - 27/11/2024,6.728,3.51,28.1,16.42,19.0,1329,Active,1,11,46,R,183.20173535791758,3,0.009000000000001063,0.09833333333333541,-0.17000000000000032,-0.2150000000000009
10:4:25 - 27/11/2024,6.837,3.51,28.25,16.23,18.35,1402,Active,1,11,46,L,194.60303687635576,3,-0.013999999999998791,0.06999999999999972,-0.04833333333333381,-1.9450000000000014
10:4:25 - 27/11/2024,6.991,3.51,28.25,16.23,15.11,1497,Active,1,11,46,L,209.44034707158352,3,-0.02999999999999875,0.09083333333333515,-0.32416666666666694,-1.6200000000000019
10:4:25 - 27/11/2024,7.035,3.41,28.44,15.59,15.11,1523,Active,1,11,46,L,213.50108459869847,3,-0.02999999999999875,0.1533333333333352,-0.5266666666666677,0.2849999999999993
10:4:25 - 27/11/2024,7.144,3.41,28.53,15.19,15.68,1597,Active,1,11,46,L,225.058568329718,3,-0.019999999999998797,0.10666666666666594,-0.7400000000000003,1.7000000000000002
10:4:25 - 27/11/2024,7.26,3.41,28.65,14.23,18.51,1688,Active,1,11,46,L,239.2711496746204,3,0.012000000000001121,0.05416666666666596,-0.43249999999999983,2.1999999999999984
10:4:25 - 27/11/2024,7.376,3.41,28.65,14.23,20.08,1784,Active,1,11,46,L,254.2646420824295,3,0.010000000000001119,0.048333333333335254,-0.5791666666666678,0.9999999999999989
